,report_date,health_district,sex,number_of_cases,number_of_hospitalizations,number_of_deaths
227,2020-08-01T00:00:00.000,Chesapeake,Not Reported,3,0,0
228,2020-08-01T00:00:00.000,Chesterfield,Female,2106,119,46
229,2020-08-01T00:00:00.000,Chesterfield,Male,2065,124,52
230,2020-08-01T00:00:00.000,Chesterfield,Not Reported,100,0,2
231,2020-08-01T00:00:00.000,Chickahominy,Female,495,64,20
232,2020-08-01T00:00:00.000,Chickahominy,Male,406,65,24
233,2020-08-01T00:00:00.000,Chickahominy,Not Reported,4,0,0
234,2020-08-01T00:00:00.000,Crater,Female,985,107,34
235,2020-08-01T00:00:00.000,Crater,Male,1128,96,27
236,2020-08-01T00:00:00.000,Crater,Not Reported,23,1,0
237,2020-08-01T00:00:00.000,Cumberland Plateau,Female,129,5,0
238,2020-08-01T00:00:00.000,Cumberland Plateau,Male,117,12,1
239,2020-08-01T00:00:00.000,Cumberland Plateau,Not Reported,0,0,0
240,2020-08-01T00:00:00.000,Eastern Shore,Female,686,64,23
241,2020-08-01T00:00:00.000,Eastern Shore,Male,674,59,20
242,2020-08-01T00:00:00.000,Eastern Shore,Not Reported,9,0,0
243,2020-08-01T00:00:00.000,Fairfax,Female,8061,815,262
244,2020-08-01T00:00:00.000,Fairfax,Male,7680,1105,272
245,2020-08-01T00:00:00.000,Fairfax,Not Reported,87,1,1
246,2020-08-01T00:00:00.000,Hampton,Female,567,17,2
247,2020-08-01T00:00:00.000,Hampton,Male,439,32,3
248,2020-08-01T00:00:00.000,Hampton,Not Reported,3,0,0
249,2020-08-01T00:00:00.000,Henrico,Female,1885,149,97
250,2020-08-01T00:00:00.000,Henrico,Male,1697,163,85
251,2020-08-01T00:00:00.000,Henrico,Not Reported,19,0,0
252,2020-08-01T00:00:00.000,Lenowisco,Female,125,14,1
253,2020-08-01T00:00:00.000,Lenowisco,Male,120,17,6
254,2020-08-01T00:00:00.000,Lenowisco,Not Reported,0,0,0
255,2020-08-01T00:00:00.000,Lord Fairfax,Female,1305,102,47
256,2020-08-01T00:00:00.000,Lord Fairfax,Male,1162,114,39
257,2020-08-01T00:00:00.000,Lord Fairfax,Not Reported,8,0,0
258,2020-08-01T00:00:00.000,Loudoun,Female,2510,148,70
259,2020-08-01T00:00:00.000,Loudoun,Male,2478,188,42
260,2020-08-01T00:00:00.000,Loudoun,Not Reported,26,0,0
261,2020-08-01T00:00:00.000,Mount Rogers,Female,640,38,17
262,2020-08-01T00:00:00.000,Mount Rogers,Male,576,78,32
263,2020-08-01T00:00:00.000,Mount Rogers,Not Reported,4,0,0
264,2020-08-01T00:00:00.000,New River,Female,197,8,2
265,2020-08-01T00:00:00.000,New River,Male,229,21,5
266,2020-08-01T00:00:00.000,New River,Not Reported,5,0,0
267,2020-08-01T00:00:00.000,Norfolk,Female,1693,84,12
268,2020-08-01T00:00:00.000,Norfolk,Male,1490,86,14
269,2020-08-01T00:00:00.000,Norfolk,Not Reported,2,0,0
270,2020-08-01T00:00:00.000,Peninsula,Female,1376,78,25
271,2020-08-01T00:00:00.000,Peninsula,Male,1195,83,16
272,2020-08-01T00:00:00.000,Peninsula,Not Reported,12,0,0
273,2020-08-01T00:00:00.000,Piedmont,Female,414,49,7
274,2020-08-01T00:00:00.000,Piedmont,Male,932,67,20
275,2020-08-01T00:00:00.000,Piedmont,Not Reported,5,0,0
276,2020-08-01T00:00:00.000,Pittsylvania-Danville,Female,380,38,7
277,2020-08-01T00:00:00.000,Pittsylvania-Danville,Male,258,23,2
278,2020-08-01T00:00:00.000,Pittsylvania-Danville,Not Reported,5,0,0
279,2020-08-01T00:00:00.000,Portsmouth,Female,793,69,12
280,2020-08-01T00:00:00.000,Portsmouth,Male,696,55,12
281,2020-08-01T00:00:00.000,Portsmouth,Not Reported,3,0,0
282,2020-08-01T00:00:00.000,Prince William,Female,5518,418,86
283,2020-08-01T00:00:00.000,Prince William,Male,5401,528,113
284,2020-08-01T00:00:00.000,Prince William,Not Reported,79,1,0
285,2020-08-01T00:00:00.000,Rappahannock,Female,1720,133,22
286,2020-08-01T00:00:00.000,Rappahannock,Male,1516,152,30
287,2020-08-01T00:00:00.000,Rappahannock,Not Reported,10,1,0
288,2020-08-01T00:00:00.000,Rappahannock Rapidan,Female,924,53,10
289,2020-08-01T00:00:00.000,Rappahannock Rapidan,Male,901,79,16
290,2020-08-01T00:00:00.000,Rappahannock Rapidan,Not Reported,4,0,0
291,2020-08-01T00:00:00.000,Richmond,Female,1459,131,12
292,2020-08-01T00:00:00.000,Richmond,Male,1436,145,25
293,2020-08-01T00:00:00.000,Richmond,Not Reported,41,2,2
294,2020-08-01T00:00:00.000,Roanoke,Female,445,8,7
295,2020-08-01T00:00:00.000,Roanoke,Male,402,10,4
296,2020-08-01T00:00:00.000,Roanoke,Not Reported,14,0,0
297,2020-08-01T00:00:00.000,Southside,Female,338,31,19
298,2020-08-01T00:00:00.000,Southside,Male,302,33,15
299,2020-08-01T00:00:00.000,Southside,Not Reported,4,0,0
300,2020-08-01T00:00:00.000,Thomas Jefferson,Female,919,71,21
301,2020-08-01T00:00:00.000,Thomas Jefferson,Male,799,65,16
302,2020-08-01T00:00:00.000,Thomas Jefferson,Not Reported,2,0,0
303,2020-08-01T00:00:00.000,Three Rivers,Female,336,38,9
304,2020-08-01T00:00:00.000,Three Rivers,Male,621,29,6
305,2020-08-01T00:00:00.000,Three Rivers,Not Reported,21,0,0
306,2020-08-01T00:00:00.000,Virginia Beach,Female,2259,97,21
307,2020-08-01T00:00:00.000,Virginia Beach,Male,1906,104,25
308,2020-08-01T00:00:00.000,Virginia Beach,Not Reported,13,0,0
309,2020-08-01T00:00:00.000,Western Tidewater,Female,947,60,35
310,2020-08-01T00:00:00.000,Western Tidewater,Male,798,72,42
311,2020-08-01T00:00:00.000,Western Tidewater,Not Reported,1,0,0
312,2020-08-01T00:00:00.000,West Piedmont,Female,529,61,5
313,2020-08-01T00:00:00.000,West Piedmont,Male,404,49,8
314,2020-08-01T00:00:00.000,West Piedmont,Not Reported,4,0,0
315,2020-07-31T00:00:00.000,Alexandria,Female,1443,126,31
316,2020-07-31T00:00:00.000,Alexandria,Male,1347,143,27
317,2020-07-31T00:00:00.000,Alexandria,Not Reported,8,0,0
318,2020-07-31T00:00:00.000,Alleghany,Female,440,13,11
319,2020-07-31T00:00:00.000,Alleghany,Male,381,24,7
320,2020-07-31T00:00:00.000,Alleghany,Not Reported,8,0,0
321,2020-07-31T00:00:00.000,Arlington,Female,1427,194,67
322,2020-07-31T00:00:00.000,Arlington,Male,1466,240,69
323,2020-07-31T00:00:00.000,Arlington,Not Reported,4,0,0
324,2020-07-31T00:00:00.000,Central Shenandoah,Female,1413,103,25
325,2020-07-31T00:00:00.000,Central Shenandoah,Male,1218,101,27
326,2020-07-31T00:00:00.000,Central Shenandoah,Not Reported,1,0,0
327,2020-07-31T00:00:00.000,Central Virginia,Female,542,10,3
328,2020-07-31T00:00:00.000,Central Virginia,Male,486,17,7
329,2020-07-31T00:00:00.000,Central Virginia,Not Reported,4,0,0
330,2020-07-31T00:00:00.000,Chesapeake,Female,1373,108,13
331,2020-07-31T00:00:00.000,Chesapeake,Male,1074,93,15
332,2020-07-31T00:00:00.000,Chesapeake,Not Reported,3,0,0
333,2020-07-31T00:00:00.000,Chesterfield,Female,2091,117,45
334,2020-07-31T00:00:00.000,Chesterfield,Male,2049,124,50
335,2020-07-31T00:00:00.000,Chesterfield,Not Reported,97,0,2
336,2020-07-31T00:00:00.000,Chickahominy,Female,491,64,20
337,2020-07-31T00:00:00.000,Chickahominy,Male,403,65,22
338,2020-07-31T00:00:00.000,Chickahominy,Not Reported,4,0,0
339,2020-07-31T00:00:00.000,Crater,Female,970,107,33
340,2020-07-31T00:00:00.000,Crater,Male,1120,96,24
341,2020-07-31T00:00:00.000,Crater,Not Reported,23,1,0
342,2020-07-31T00:00:00.000,Cumberland Plateau,Female,125,4,0
343,2020-07-31T00:00:00.000,Cumberland Plateau,Male,115,12,1
344,2020-07-31T00:00:00.000,Cumberland Plateau,Not Reported,0,0,0
345,2020-07-31T00:00:00.000,Eastern Shore,Female,684,64,23
346,2020-07-31T00:00:00.000,Eastern Shore,Male,673,58,20
347,2020-07-31T00:00:00.000,Eastern Shore,Not Reported,9,0,0
348,2020-07-31T00:00:00.000,Fairfax,Female,8024,814,260
349,2020-07-31T00:00:00.000,Fairfax,Male,7644,1105,272
350,2020-07-31T00:00:00.000,Fairfax,Not Reported,87,1,1
351,2020-07-31T00:00:00.000,Hampton,Female,566,17,2
352,2020-07-31T00:00:00.000,Hampton,Male,438,32,3
353,2020-07-31T00:00:00.000,Hampton,Not Reported,3,0,0
354,2020-07-31T00:00:00.000,Henrico,Female,1854,147,96
355,2020-07-31T00:00:00.000,Henrico,Male,1671,163,84
356,2020-07-31T00:00:00.000,Henrico,Not Reported,16,0,0
357,2020-07-31T00:00:00.000,Lenowisco,Female,121,13,1
358,2020-07-31T00:00:00.000,Lenowisco,Male,111,16,6
359,2020-07-31T00:00:00.000,Lenowisco,Not Reported,0,0,0
360,2020-07-31T00:00:00.000,Lord Fairfax,Female,1292,101,47
361,2020-07-31T00:00:00.000,Lord Fairfax,Male,1156,113,37
362,2020-07-31T00:00:00.000,Lord Fairfax,Not Reported,8,0,0
363,2020-07-31T00:00:00.000,Loudoun,Female,2500,147,69
364,2020-07-31T00:00:00.000,Loudoun,Male,2468,188,41
365,2020-07-31T00:00:00.000,Loudoun,Not Reported,27,0,0
366,2020-07-31T00:00:00.000,Mount Rogers,Female,633,38,17
367,2020-07-31T00:00:00.000,Mount Rogers,Male,571,78,30
368,2020-07-31T00:00:00.000,Mount Rogers,Not Reported,3,0,0
369,2020-07-31T00:00:00.000,New River,Female,194,8,2
370,2020-07-31T00:00:00.000,New River,Male,230,21,5
371,2020-07-31T00:00:00.000,New River,Not Reported,5,0,0
372,2020-07-31T00:00:00.000,Norfolk,Female,1691,84,11
373,2020-07-31T00:00:00.000,Norfolk,Male,1487,84,13
374,2020-07-31T00:00:00.000,Norfolk,Not Reported,2,0,0
375,2020-07-31T00:00:00.000,Peninsula,Female,1359,78,25
376,2020-07-31T00:00:00.000,Peninsula,Male,1185,83,16
377,2020-07-31T00:00:00.000,Peninsula,Not Reported,11,0,0
378,2020-07-31T00:00:00.000,Piedmont,Female,411,49,7
379,2020-07-31T00:00:00.000,Piedmont,Male,914,67,19
380,2020-07-31T00:00:00.000,Piedmont,Not Reported,5,0,0
381,2020-07-31T00:00:00.000,Pittsylvania-Danville,Female,362,37,5
382,2020-07-31T00:00:00.000,Pittsylvania-Danville,Male,249,23,2
383,2020-07-31T00:00:00.000,Pittsylvania-Danville,Not Reported,5,0,0
384,2020-07-31T00:00:00.000,Portsmouth,Female,780,69,12
385,2020-07-31T00:00:00.000,Portsmouth,Male,679,53,10
386,2020-07-31T00:00:00.000,Portsmouth,Not Reported,3,0,0
387,2020-07-31T00:00:00.000,Prince William,Female,5488,416,86
388,2020-07-31T00:00:00.000,Prince William,Male,5372,525,111
389,2020-07-31T00:00:00.000,Prince William,Not Reported,79,1,0
390,2020-07-31T00:00:00.000,Rappahannock,Female,1696,133,21
391,2020-07-31T00:00:00.000,Rappahannock,Male,1496,150,29
392,2020-07-31T00:00:00.000,Rappahannock,Not Reported,9,1,0
393,2020-07-31T00:00:00.000,Rappahannock Rapidan,Female,920,53,10
394,2020-07-31T00:00:00.000,Rappahannock Rapidan,Male,897,79,16
395,2020-07-31T00:00:00.000,Rappahannock Rapidan,Not Reported,3,0,0
396,2020-07-31T00:00:00.000,Richmond,Female,1434,130,12
397,2020-07-31T00:00:00.000,Richmond,Male,1419,144,25
398,2020-07-31T00:00:00.000,Richmond,Not Reported,40,2,2
399,2020-07-31T00:00:00.000,Roanoke,Female,423,8,7
400,2020-07-31T00:00:00.000,Roanoke,Male,377,10,4
401,2020-07-31T00:00:00.000,Roanoke,Not Reported,14,0,0
402,2020-07-31T00:00:00.000,Southside,Female,332,31,19
403,2020-07-31T00:00:00.000,Southside,Male,294,33,15
404,2020-07-31T00:00:00.000,Southside,Not Reported,4,0,0
