,report_date,health_district,age_group,number_of_cases,number_of_hospitalizations,number_of_deaths
201,2020-08-13T00:00:00.000,Peninsula,10-19,193,1,0
202,2020-08-13T00:00:00.000,Peninsula,20-29,813,1,0
203,2020-08-13T00:00:00.000,Peninsula,30-39,557,15,2
204,2020-08-13T00:00:00.000,Peninsula,40-49,433,16,1
205,2020-08-13T00:00:00.000,Peninsula,50-59,384,24,3
206,2020-08-13T00:00:00.000,Peninsula,60-69,277,36,4
207,2020-08-13T00:00:00.000,Peninsula,70-79,166,47,15
208,2020-08-13T00:00:00.000,Peninsula,80+,100,30,22
209,2020-08-13T00:00:00.000,Peninsula,Missing,41,0,0
210,2020-08-13T00:00:00.000,Piedmont,0-9,31,0,0
211,2020-08-13T00:00:00.000,Piedmont,10-19,53,0,0
212,2020-08-13T00:00:00.000,Piedmont,20-29,263,3,0
213,2020-08-13T00:00:00.000,Piedmont,30-39,311,5,0
214,2020-08-13T00:00:00.000,Piedmont,40-49,275,13,0
215,2020-08-13T00:00:00.000,Piedmont,50-59,236,26,3
216,2020-08-13T00:00:00.000,Piedmont,60-69,180,26,5
217,2020-08-13T00:00:00.000,Piedmont,70-79,91,28,8
218,2020-08-13T00:00:00.000,Piedmont,80+,62,24,19
219,2020-08-13T00:00:00.000,Piedmont,Missing,1,0,0
220,2020-08-13T00:00:00.000,Pittsylvania-Danville,0-9,32,0,0
221,2020-08-13T00:00:00.000,Pittsylvania-Danville,10-19,62,0,0
222,2020-08-13T00:00:00.000,Pittsylvania-Danville,20-29,130,0,0
223,2020-08-13T00:00:00.000,Pittsylvania-Danville,30-39,150,1,0
224,2020-08-13T00:00:00.000,Pittsylvania-Danville,40-49,172,9,1
225,2020-08-13T00:00:00.000,Pittsylvania-Danville,50-59,178,21,0
226,2020-08-13T00:00:00.000,Pittsylvania-Danville,60-69,124,20,2
227,2020-08-13T00:00:00.000,Pittsylvania-Danville,70-79,50,15,1
228,2020-08-13T00:00:00.000,Pittsylvania-Danville,80+,61,12,6
229,2020-08-13T00:00:00.000,Pittsylvania-Danville,Missing,1,0,0
230,2020-08-13T00:00:00.000,Portsmouth,0-9,59,3,0
231,2020-08-13T00:00:00.000,Portsmouth,10-19,159,0,0
232,2020-08-13T00:00:00.000,Portsmouth,20-29,425,12,0
233,2020-08-13T00:00:00.000,Portsmouth,30-39,344,13,1
234,2020-08-13T00:00:00.000,Portsmouth,40-49,291,16,1
235,2020-08-13T00:00:00.000,Portsmouth,50-59,255,31,2
236,2020-08-13T00:00:00.000,Portsmouth,60-69,211,27,8
237,2020-08-13T00:00:00.000,Portsmouth,70-79,96,22,7
238,2020-08-13T00:00:00.000,Portsmouth,80+,46,9,6
239,2020-08-13T00:00:00.000,Portsmouth,Missing,21,0,0
240,2020-08-13T00:00:00.000,Prince William,0-9,494,12,0
241,2020-08-13T00:00:00.000,Prince William,10-19,1034,9,0
242,2020-08-13T00:00:00.000,Prince William,20-29,2188,60,0
243,2020-08-13T00:00:00.000,Prince William,30-39,2214,106,2
244,2020-08-13T00:00:00.000,Prince William,40-49,2390,181,8
245,2020-08-13T00:00:00.000,Prince William,50-59,1785,222,16
246,2020-08-13T00:00:00.000,Prince William,60-69,946,187,49
247,2020-08-13T00:00:00.000,Prince William,70-79,380,116,52
248,2020-08-13T00:00:00.000,Prince William,80+,271,90,80
