Event Date,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths,Health Planning Region
3/20/2020,Confirmed,94,5,0,Northern
2/18/2020,Confirmed,1,0,0,Northwest
5/5/2020,Probable,5,0,1,Eastern
4/15/2020,Confirmed,81,7,0,Northwest
6/3/2020,Confirmed,67,6,3,Northwest
3/17/2020,Probable,12,0,0,Northern
5/9/2020,Confirmed,356,49,14,Northern
6/7/2020,Probable,10,0,0,Northwest
6/11/2020,Confirmed,56,4,1,Northwest
5/12/2020,Probable,16,1,0,Northern
2/18/2020,Confirmed,1,1,0,Central
5/1/2020,Confirmed,36,2,3,Southwest
6/22/2020,Probable,2,0,0,Southwest
4/30/2020,Confirmed,536,59,22,Northern
3/21/2020,Confirmed,39,7,4,Eastern
3/29/2020,Probable,5,0,0,Northern
3/20/2020,Confirmed,48,5,0,Central
4/23/2020,Confirmed,114,13,2,Eastern
4/20/2020,Confirmed,89,14,2,Central
3/24/2020,Confirmed,50,8,2,Central
3/25/2020,Confirmed,48,17,1,Eastern
4/22/2020,Confirmed,179,6,1,Northwest
4/26/2020,Probable,16,0,0,Northwest
5/8/2020,Probable,1,0,0,Southwest
4/6/2020,Confirmed,23,9,2,Southwest
6/20/2020,Probable,3,0,0,Eastern
4/24/2020,Probable,18,0,0,Northwest
6/29/2020,Confirmed,19,1,1,Central
4/12/2020,Confirmed,84,7,0,Northwest
6/28/2020,Confirmed,53,7,0,Eastern
6/9/2020,Probable,4,1,0,Northern
4/20/2020,Confirmed,31,1,0,Southwest
5/26/2020,Confirmed,88,2,2,Eastern
5/29/2020,Confirmed,138,18,4,Central
6/12/2020,Confirmed,65,8,0,Eastern
3/7/2020,Confirmed,1,0,0,Southwest
6/13/2020,Confirmed,80,5,1,Central
4/14/2020,Confirmed,19,3,0,Southwest
6/25/2020,Probable,1,0,0,Southwest
4/11/2020,Confirmed,215,32,3,Northern
4/8/2020,Confirmed,222,28,8,Northern
6/24/2020,Probable,2,0,0,Southwest
5/11/2020,Probable,6,0,0,Northwest
6/13/2020,Confirmed,86,7,3,Northern
3/22/2020,Confirmed,104,8,0,Northern
4/17/2020,Probable,7,0,0,Eastern
3/11/2020,Probable,1,0,0,Central
4/21/2020,Probable,1,0,0,Southwest
6/11/2020,Confirmed,141,8,4,Northern
5/13/2020,Probable,6,0,0,Northwest
5/5/2020,Confirmed,105,10,5,Northwest
6/9/2020,Confirmed,195,8,4,Northern
5/7/2020,Probable,5,0,0,Northwest
4/27/2020,Probable,1,0,0,Southwest
5/10/2020,Confirmed,17,4,0,Southwest
3/28/2020,Confirmed,44,10,1,Central
3/29/2020,Confirmed,27,19,1,Eastern
4/23/2020,Confirmed,37,1,1,Southwest
6/2/2020,Confirmed,94,6,1,Northwest
3/9/2020,Probable,2,0,0,Northwest
6/10/2020,Confirmed,61,9,3,Northwest
5/11/2020,Probable,2,0,0,Eastern
5/26/2020,Confirmed,131,8,3,Northwest
6/19/2020,Confirmed,66,6,1,Northwest
5/17/2020,Confirmed,377,45,16,Northern
6/15/2020,Probable,8,0,0,Northwest
5/12/2020,Confirmed,120,8,1,Northwest
5/16/2020,Probable,14,0,1,Northern
2/29/2020,Probable,2,0,0,Northern
6/19/2020,Probable,1,0,0,Eastern
3/12/2020,Confirmed,48,2,0,Northern
3/3/2020,Confirmed,2,0,0,Northwest
5/1/2020,Confirmed,110,14,4,Eastern
4/28/2020,Confirmed,121,8,2,Central
